d_model,num_layers,bidirectional,model_name,task_name,win_size,step_size,batch_size,epochs,lr,model_saving_path,dataset_path,dataset_name,if_save,index,train_test_split,anomaly_ratio,train_split_max,metric_list,quantile,noise_prob,CCE,F1,Aff-F1,UAff-F1,AUC-ROC,VUS-PR
32,1,0,RF,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,SWAT,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.03,0.04820935972803406,0.14986120417344692,0.8330479994530471,0.6091629243942396,0.38770560737681437,0.2144859745704233
32,1,0,RF,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,WADI,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.03,0.13424084961142058,0.2508710801393728,0.6562370920364758,0.35677329833693133,0.6987000239170474,0.33390868424737913
32,1,0,STAND,supervised,32,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,NIPS_TS_Swan,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.01,0.18585533,0.18216529129203105,0.027098128993704434,0.026573423532469533,0.7991182407667519,0.9784861983166043
32,1,0,RF,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,NIPS_TS_Swan,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.03,0.27653581126054133,0.1506281329290179,0.4127864642495007,0.40094171595512024,0.8589399625546204,0.9689775866763858
32,1,0,RF,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,NIPS_TS_Water,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.03,0.341163739637377,0.07517965726920951,0.798730678548723,0.4888385947708295,0.9346469933377382,0.13715122442212985
32,1,0,RF,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,NIPS_TS_Swan,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.03,0.27653581126054133,0.1506281329290179,0.4127864642495007,0.40094171595512024,0.8589395735470514,0.9689773873306908
32,1,0,SVM,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,PSM,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.03,0.08627524170085799,0.07298057259713701,0.5724897661305731,0.39355813479899115,0.682572810314695,0.4428743281243178
32,1,0,SVM,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,PSM,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.03,0.08627524170085799,0.07298057259713701,0.5724897661305731,0.39355813479899115,0.682572810314695,0.4428743281243178
32,1,0,SVM,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,SWAT,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.03,0.3272859480486535,0.12362733135785253,0.6275911764432229,0.6189770473535817,0.930357172638864,0.8344547909956641
32,1,0,SVM,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,WADI,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.03,0.03256515849252391,0.09265387160820648,0.694930759432495,0.0759444050022266,0.679608942336872,0.2101045164039794
